id,value
Nepal.PN1.Jhapa.MechiNagar MCP.Ward_15,1.1.4.1.15
Nepal.PN1.Jhapa.Damak MCP,1.1.4.2
Nepal.PN1.Jhapa.Damak MCP.Ward_1,1.1.4.2.1
Nepal.PN1.Jhapa.Damak MCP.Ward_2,1.1.4.2.2
Nepal.PN1.Jhapa.Damak MCP.Ward_3,1.1.4.2.3
Nepal.PN1.Jhapa.Damak MCP.Ward_4,1.1.4.2.4
Nepal.PN1.Jhapa.Damak MCP.Ward_5,1.1.4.2.5
Nepal.PN1.Jhapa.Damak MCP.Ward_6,1.1.4.2.6
Nepal.PN1.Jhapa.Damak MCP.Ward_7,1.1.4.2.7
Nepal.PN1.Jhapa.Damak MCP.Ward_8,1.1.4.2.8
Nepal.PN1.Jhapa.Damak MCP.Ward_9,1.1.4.2.9
Nepal.PN1.Jhapa.Damak MCP.Ward_10,1.1.4.2.10
Nepal.PN1.Jhapa.Kankai MCP,1.1.4.3
Nepal.PN1.Jhapa.Kankai MCP.Ward_1,1.1.4.3.1
Nepal.PN1.Jhapa.Kankai MCP.Ward_2,1.1.4.3.2
Nepal.PN1.Jhapa.Kankai MCP.Ward_3,1.1.4.3.3
Nepal.PN1.Jhapa.Kankai MCP.Ward_4,1.1.4.3.4
Nepal.PN1.Jhapa.Kankai MCP.Ward_5,1.1.4.3.5
Nepal.PN1.Jhapa.Kankai MCP.Ward_6,1.1.4.3.6
Nepal.PN1.Jhapa.Kankai MCP.Ward_7,1.1.4.3.7
Nepal.PN1.Jhapa.Kankai MCP.Ward_8,1.1.4.3.8
Nepal.PN1.Jhapa.Kankai MCP.Ward_9,1.1.4.3.9
Nepal.PN1.Jhapa.Bhadrapur MCP,1.1.4.4
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_1,1.1.4.4.1
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_2,1.1.4.4.2
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_3,1.1.4.4.3
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_4,1.1.4.4.4
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_5,1.1.4.4.5
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_6,1.1.4.4.6
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_7,1.1.4.4.7
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_8,1.1.4.4.8
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_9,1.1.4.4.9
Nepal.PN1.Jhapa.Bhadrapur MCP.Ward_10,1.1.4.4.10
Nepal.PN1.Jhapa.Arjundhara MCP,1.1.4.5
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_1,1.1.4.5.1
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_2,1.1.4.5.2
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_3,1.1.4.5.3
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_4,1.1.4.5.4
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_5,1.1.4.5.5
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_6,1.1.4.5.6
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_7,1.1.4.5.7
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_8,1.1.4.5.8
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_9,1.1.4.5.9
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_10,1.1.4.5.10
Nepal.PN1.Jhapa.Arjundhara MCP.Ward_11,1.1.4.5.11
Nepal.PN1.Jhapa.ShivaSataxi MCP,1.1.4.6
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_1,1.1.4.6.1
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_2,1.1.4.6.2
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_3,1.1.4.6.3
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_4,1.1.4.6.4
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_5,1.1.4.6.5
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_6,1.1.4.6.6
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_7,1.1.4.6.7
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_8,1.1.4.6.8
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_9,1.1.4.6.9
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_10,1.1.4.6.10
Nepal.PN1.Jhapa.ShivaSataxi MCP.Ward_11,1.1.4.6.11
Nepal.PN1.Jhapa.Gauradaha MCP,1.1.4.7
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_1,1.1.4.7.1
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_2,1.1.4.7.2
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_3,1.1.4.7.3
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_4,1.1.4.7.4
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_5,1.1.4.7.5
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_6,1.1.4.7.6
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_7,1.1.4.7.7
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_8,1.1.4.7.8
Nepal.PN1.Jhapa.Gauradaha MCP.Ward_9,1.1.4.7.9
Nepal.PN1.Jhapa.Birtamod MCP,1.1.4.8
Nepal.PN1.Jhapa.Birtamod MCP.Ward_1,1.1.4.8.1
Nepal.PN1.Jhapa.Birtamod MCP.Ward_2,1.1.4.8.2
Nepal.PN1.Jhapa.Birtamod MCP.Ward_3,1.1.4.8.3
Nepal.PN1.Jhapa.Birtamod MCP.Ward_4,1.1.4.8.4
Nepal.PN1.Jhapa.Birtamod MCP.Ward_5,1.1.4.8.5
Nepal.PN1.Jhapa.Birtamod MCP.Ward_6,1.1.4.8.6
Nepal.PN1.Jhapa.Birtamod MCP.Ward_7,1.1.4.8.7
Nepal.PN1.Jhapa.Birtamod MCP.Ward_8,1.1.4.8.8
